"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-02-17","0.00","D,,S","69","H,,S","82",",,S",,
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-02-18","0.00","D,,S","63","H,,S","76",",,S",,
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-02-19",,,"61","H,,S","72",",,S","45",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-02-20",,,"62","H,,S","74",",,S","43",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-02-21","0.00","D,,S","62","H,,S","78",",,S","42",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-02-22","0.00","D,,S","66","H,,S","80",",,S","47",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-02-23","0.00","D,,S","71","H,,S","86",",,S","52",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-02-24","0.00","D,,S","73","H,,S","90",",,S","54",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-02-25","0.00","D,,S","77","H,,S","92",",,S","58",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-02-26","0.00","D,,S","82","H,,S","96",",,S","64",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-02-27","0.00","D,,S","84","H,,S","99",",,S","65",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-02-28","0.00","D,,S","83","H,,S","98",",,S","69",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-01","0.00","D,,S","82","H,,S","98",",,S","67",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-02","0.00","D,,S","79","H,,S",,,,
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-03","0.00","D,,S","78","H,,S","88",",,S","69",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-04","0.00","D,,S","76","H,,S","90",",,S","66",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-05","0.00","D,,S","75","H,,S","89",",,S","60",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-06","0.00","D,,S","77","H,,S","92",",,S","63",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-07","0.00","D,,S","76","H,,S","85",",,S","67",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-08","0.00","D,,S","76","H,,S","92",",,S","64",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-09","0.00","D,,S","77","H,,S","90",",,S","65",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-10","0.00","D,,S","77","H,,S","90",",,S","65",",,S"
"IN005150100","RAJKOT, IN","22.3","70.783","138.0","2005-03-11","0.00","D,,S","78","H,,S","92",",,S","65",",,S"
